"weight";"word";"color";"url"
"80";"molecular simulation";"";""
"80";"molecular theory";"";""
"70";"machine learning";"";""
"70";"statistical mechanics";"";""
"65";"thermodynamics";"";""
"50";"classical density functional theory";"";""
"50";"electron density functional theory";"";""
"50";"polymer self-consistent theory";"";""
"60";"molecular dynamics simulation";"";""
"60";"electrolytes";"";""
"50";"lipid bilayer";"";""
"40";"jamming";"";""
"60";"transport";"";""
"80";"ion solvation";"";""
"50";"membranes";"";""
"50";"polymer";"";""
"70";"soft matter";"";""
"30";"surface";"";""
"11";"cell";"";""
"11";"channels";"";""
"11";"diffusion";"";""
"11";"dynamics";"";""
"11";"separation";"";""
"10";"graphene";"";""
"10";"light-power";"";""
"10";"phase separation";"";""
"10";"pore";"";""
"9";"desalination";"";""
"9";"electrostatic";"";""
"9";"nanofluidic";"";""
"9";"permeability";"";""
"9";"structure-function relationship";"";""
"8";"materials";"";""
"8";"microphase";"";""
"7";"coarse-grained";"";""
"7";"electric double layer";"";""
"7";"energy storage";"";""
"7";"permeation";"";""
"7";"porous";"";""
"7";"protein";"";""
"6";"artificial ion channel";"";""
"6";"supercapacitor";"";""
"30";"lithium battery";"";""
"36";"conductivity";"";""
"32";"dendrite";"";""
"17";"liposome";"";""
"4";"electrokinetic";"";""
"42";"polymer electrolytes";"";""
"3";"dipeptides";"";""
"3";"light-powered";"";""
"32";"mixed-matrix membrane";"";""
"43";"multiscale";"";""
